time_ms,heading_deg,roll_deg,pitch_deg,pos_x_m,pos_y_m,pos_z_m
5200,10.22,7.92,-5.92,0.006,0.039,0.042
5300,14.52,-11.42,-10.40,0.000,0.036,0.063
5400,19.43,-19.97,1.44,0.005,0.036,0.046
5500,13.95,1.64,10.43,0.008,0.038,0.053
5600,17.89,18.23,1.69,0.006,0.043,0.060
5700,15.12,8.90,-10.08,0.012,0.046,0.042
5800,16.54,-13.06,-6.94,0.014,0.045,0.056
5900,15.36,-16.51,-1.41,0.012,0.042,0.044
6000,20.27,-2.95,7.59,0.013,0.042,0.054
6100,14.76,20.44,0.25,0.012,0.049,0.055
6200,13.54,12.73,-7.66,0.015,0.043,0.043
6300,14.34,-13.98,-7.79,0.013,0.046,0.058
6400,20.22,-21.00,-0.06,0.021,0.051,0.042
6500,16.90,3.05,4.64,0.014,0.044,0.055
6600,15.76,15.71,3.56,0.012,0.037,0.061
6700,14.72,11.25,-5.56,0.015,0.035,0.040
6800,23.71,-14.19,-4.21,0.015,0.042,0.059
6900,18.22,-17.85,0.33,0.008,0.047,0.042
7000,19.78,0.35,7.90,0.011,0.052,0.048
7100,7.81,19.59,1.22,0.016,0.054,0.052
7200,18.36,8.66,-3.61,0.014,0.047,0.038
7300,14.27,-8.03,-3.18,0.007,0.045,0.059
7400,17.09,-21.15,1.41,0.001,0.047,0.045
7500,23.07,-2.97,7.96,0.003,0.052,0.046
7600,15.17,19.02,2.61,0.002,0.048,0.054
7700,10.83,15.73,-7.23,0.008,0.047,0.040
7800,19.63,-11.21,-9.31,0.008,0.042,0.061
7900,19.06,-19.53,2.50,0.005,0.039,0.041
8000,20.96,0.68,5.22,0.004,0.036,0.051
8100,20.15,17.34,-0.35,0.002,0.031,0.051
8200,9.15,12.81,-6.25,-0.003,0.036,0.038
8300,19.71,-15.39,-9.03,-0.001,0.029,0.057
8400,16.11,-21.55,4.90,0.002,0.031,0.046
8500,25.95,3.09,9.32,0.003,0.032,0.051
8600,19.36,21.51,-1.19,0.004,0.036,0.056
8700,21.09,10.63,-5.42,0.007,0.042,0.037
8800,14.93,-11.53,-10.33,0.004,0.044,0.061
8900,19.66,-20.57,2.61,0.010,0.040,0.043
9000,22.59,0.08,4.96,0.004,0.047,0.046
9100,19.31,21.98,2.09,0.004,0.043,0.061
9200,17.09,15.45,-7.00,0.010,0.046,0.044
9300,18.17,-9.99,-9.93,0.016,0.044,0.062
9400,22.74,-16.99,4.92,0.018,0.050,0.043
9500,23.84,-3.46,6.30,0.017,0.043,0.048
9600,27.40,21.17,4.71,0.023,0.036,0.058
9700,17.11,8.88,-8.98,0.020,0.031,0.038
9800,19.29,-15.41,-5.74,0.017,0.034,0.059
9900,13.99,-17.87,3.31,0.018,0.035,0.046
10000,26.18,3.82,9.23,0.012,0.032,0.051
10100,23.31,22.53,4.76,0.016,0.038,0.053
10200,21.73,11.78,-5.36,0.022,0.032,0.039
10300,24.02,-9.16,-3.76,0.026,0.026,0.064
10400,31.27,-21.80,-1.09,0.021,0.019,0.040
10500,33.14,-2.66,7.34,0.018,0.019,0.050
10600,25.42,21.48,3.88,0.020,0.012,0.060
10700,25.79,9.56,-7.27,0.014,0.014,0.036
10800,35.80,-13.13,-8.26,0.013,0.017,0.062
10900,36.11,-22.27,6.18,0.012,0.013,0.045
11000,23.38,1.81,7.71,0.010,0.006,0.053
11100,36.97,22.24,-1.19,0.005,0.014,0.060
11200,28.74,11.18,-4.53,-0.000,0.015,0.043
11300,35.63,-10.52,-8.26,0.007,0.021,0.059
11400,37.09,-19.79,2.99,0.001,0.021,0.048
11500,44.86,1.09,4.32,0.007,0.024,0.049
11600,30.14,16.87,2.30,-0.000,0.017,0.054
11700,31.85,14.52,-7.16,-0.005,0.016,0.037
11800,39.00,-8.78,-9.38,-0.013,0.008,0.055
11900,29.31,-22.02,4.43,-0.016,0.013,0.046
12000,48.52,-2.67,10.66,-0.024,0.009,0.052
12100,15.83,20.75,4.28,-0.025,0.012,0.060
12200,32.29,10.31,-8.34,-0.029,0.007,0.043
12300,33.15,-9.01,-8.57,-0.023,0.012,0.055
12400,29.49,-17.28,4.71,-0.025,0.005,0.045
12500,45.81,3.90,9.89,-0.017,0.012,0.052
12600,36.21,20.80,1.40,-0.019,0.011,0.057
12700,35.81,9.03,-9.38,-0.025,0.010,0.043
12800,50.95,-9.39,-8.03,-0.023,0.010,0.064
12900,32.00,-20.11,2.16,-0.021,0.005,0.040
13000,44.21,-3.64,11.61,-0.028,0.011,0.055
13100,35.84,17.76,2.48,-0.027,0.005,0.052
13200,30.04,11.28,-9.75,-0.022,0.003,0.041
13300,39.34,-15.41,-3.08,-0.028,0.006,0.058
13400,42.55,-17.01,0.44,-0.025,0.013,0.045
13500,44.09,1.20,7.57,-0.029,0.016,0.053
13600,39.79,20.30,6.15,-0.031,0.016,0.055
13700,35.90,11.25,-3.90,-0.025,0.017,0.045
13800,43.12,-15.10,-9.77,-0.020,0.013,0.062
13900,37.99,-20.46,5.00,-0.015,0.015,0.040
14000,31.60,-1.95,8.64,-0.018,0.020,0.052
14100,36.41,22.25,0.99,-0.022,0.021,0.054
14200,38.80,10.56,-7.19,-0.021,0.016,0.044
14300,51.85,-11.18,-8.57,-0.026,0.011,0.058
14400,48.34,-22.20,5.48,-0.020,0.006,0.043
14500,46.76,0.48,8.78,-0.019,0.012,0.051
14600,39.79,22.12,3.92,-0.011,0.006,0.054
14700,49.91,8.46,-6.23,-0.004,0.009,0.043
14800,53.73,-13.85,-10.45,-0.001,0.008,0.063
14900,48.42,-20.93,5.96,-0.001,0.005,0.046
15000,47.35,-3.56,6.65,-0.000,0.012,0.051
15100,45.97,17.33,3.10,0.006,0.007,0.054
15200,53.13,8.19,-5.97,0.004,0.010,0.036
15300,42.74,-13.29,-8.72,0.008,0.013,0.061
15400,38.88,-21.05,3.15,0.012,0.013,0.043
15500,50.38,2.42,4.34,0.015,0.013,0.053
15600,37.92,17.03,4.89,0.015,0.009,0.054
15700,27.56,15.17,-6.92,0.012,0.015,0.044
15800,51.25,-12.92,-6.80,0.019,0.016,0.060
15900,43.97,-18.29,1.69,0.017,0.020,0.041
16000,43.02,-1.68,10.16,0.016,0.028,0.046
16100,42.32,22.54,1.66,0.010,0.022,0.053
16200,41.28,10.86,-5.98,0.013,0.028,0.043
16300,44.73,-13.52,-6.64,0.008,0.031,0.061
16400,46.55,-19.01,0.67,0.012,0.025,0.046
16500,57.08,-3.25,10.63,0.013,0.020,0.052
16600,40.39,19.15,0.03,0.020,0.023,0.060
16700,47.14,11.91,-3.04,0.021,0.022,0.037
16800,54.49,-9.25,-6.19,0.016,0.020,0.055
16900,50.39,-19.89,5.87,0.018,0.014,0.048
17000,39.95,0.88,10.32,0.014,0.010,0.048
17100,40.52,17.20,2.64,0.013,0.003,0.054
17200,46.89,13.63,-8.32,0.018,-0.005,0.042
17300,49.09,-8.97,-7.98,0.018,-0.002,0.055
17400,49.25,-21.03,4.27,0.020,0.004,0.045
17500,54.19,-3.46,10.76,0.025,0.001,0.055
17600,49.59,20.36,3.80,0.027,-0.006,0.052
17700,44.04,14.88,-5.58,0.034,0.000,0.043
17800,38.80,-14.40,-10.01,0.034,-0.006,0.055
17900,53.38,-17.06,2.73,0.032,-0.010,0.042
18000,44.87,-1.01,5.10,0.032,-0.013,0.052
18100,52.37,16.49,4.38,0.031,-0.014,0.059
18200,62.50,10.16,-6.20,0.026,-0.013,0.039
18300,57.57,-10.39,-6.56,0.023,-0.011,0.056
18400,68.56,-19.90,5.78,0.019,-0.006,0.042
18500,51.16,2.59,9.00,0.021,-0.007,0.054
18600,51.73,22.37,0.16,0.020,-0.011,0.059
18700,53.45,15.32,-4.10,0.018,-0.018,0.045
18800,57.67,-12.02,-9.33,0.022,-0.021,0.063
18900,52.18,-16.10,3.18,0.029,-0.019,0.043
19000,44.24,3.11,9.99,0.022,-0.015,0.054
19100,56.65,16.12,0.07,0.028,-0.014,0.059
19200,56.51,10.72,-4.83,0.035,-0.009,0.042
19300,61.70,-15.67,-7.86,0.036,-0.007,0.056
19400,61.22,-21.91,5.89,0.038,-0.009,0.047
19500,47.00,3.63,5.12,0.033,-0.003,0.053
19600,59.53,15.53,2.96,0.040,-0.007,0.052
19700,42.35,10.87,-5.80,0.046,-0.014,0.043
19800,51.37,-14.30,-7.71,0.053,-0.007,0.062
19900,63.86,-18.86,4.06,0.050,-0.013,0.041
20000,49.92,1.78,9.36,0.051,-0.019,0.053
20100,62.82,21.39,-1.16,0.058,-0.020,0.053
20200,46.91,8.42,-9.71,0.054,-0.016,0.042
20300,48.62,-9.94,-6.73,0.052,-0.021,0.059
20400,72.28,-18.88,2.59,0.054,-0.015,0.044
20500,47.09,-0.77,8.31,0.050,-0.014,0.048
20600,48.95,19.51,5.81,0.052,-0.012,0.058
20700,52.84,8.84,-7.20,0.059,-0.016,0.041
20800,54.71,-11.09,-3.16,0.054,-0.011,0.062
20900,50.83,-20.60,2.98,0.046,-0.014,0.043
21000,67.72,-0.98,11.18,0.051,-0.017,0.046
21100,57.79,21.56,4.40,0.047,-0.018,0.054
21200,67.18,10.68,-8.21,0.044,-0.026,0.038
21300,63.79,-10.34,-3.23,0.047,-0.027,0.064
21400,67.60,-21.30,5.69,0.050,-0.027,0.044
21500,24.87,1.98,4.97,0.052,-0.029,0.052
21600,47.54,21.67,5.77,0.049,-0.022,0.054
21700,56.75,15.47,-8.09,0.042,-0.025,0.038
21800,68.64,-8.34,-4.90,0.037,-0.020,0.060
21900,65.77,-20.63,-1.27,0.030,-0.018,0.041
22000,52.77,1.68,10.11,0.036,-0.016,0.046
22100,52.32,22.34,4.27,0.029,-0.018,0.058
22200,49.59,8.44,-9.46,0.023,-0.014,0.041
22300,72.46,-14.46,-5.86,0.025,-0.015,0.059
22400,72.21,-19.28,2.93,0.021,-0.022,0.049
22500,63.21,3.64,11.84,0.023,-0.028,0.053
22600,59.34,21.13,4.71,0.017,-0.023,0.054
22700,72.66,12.22,-6.63,0.019,-0.023,0.043
22800,60.91,-9.44,-6.72,0.026,-0.021,0.056
22900,46.81,-16.91,4.46,0.026,-0.023,0.048
23000,49.94,-3.03,11.45,0.029,-0.018,0.052
23100,82.12,21.79,3.85,0.029,-0.012,0.054
23200,70.45,15.33,-6.47,0.033,-0.012,0.036
23300,87.55,-11.28,-6.24,0.028,-0.010,0.057
23400,79.94,-22.86,5.26,0.035,-0.010,0.040
23500,94.74,-3.87,9.34,0.031,-0.015,0.048
23600,67.97,19.60,-0.49,0.033,-0.015,0.054
23700,55.91,11.40,-2.58,0.030,-0.015,0.044
23800,65.46,-15.36,-6.75,0.037,-0.019,0.056
23900,58.20,-19.66,1.14,0.029,-0.014,0.047
24000,108.10,0.28,6.48,0.035,-0.007,0.047
24100,65.09,18.43,2.03,0.034,-0.004,0.059
24200,90.03,8.35,-5.03,0.041,0.004,0.038
24300,82.51,-15.03,-7.70,0.046,-0.001,0.064
24400,71.37,-17.96,5.78,0.049,-0.005,0.045
24500,89.75,-2.66,8.50,0.055,-0.007,0.050
24600,81.50,18.78,4.25,0.063,-0.003,0.059
24700,76.71,14.96,-3.70,0.068,-0.003,0.039
24800,92.87,-14.11,-2.93,0.075,-0.009,0.059
24900,79.49,-16.98,3.91,0.067,-0.006,0.048
25000,64.23,2.27,9.58,0.073,0.001,0.053
25100,55.00,15.19,5.28,0.076,0.009,0.059
25200,70.10,12.58,-6.21,0.071,0.015,0.044
25300,69.20,-8.52,-8.51,0.065,0.018,0.064
25400,67.02,-19.42,6.37,0.062,0.012,0.047
25500,83.84,3.94,9.50,0.054,0.011,0.052
25600,91.29,20.52,-1.38,0.049,0.009,0.058
25700,85.43,14.55,-9.58,0.056,0.004,0.040
25800,67.87,-12.46,-6.26,0.057,0.003,0.064
25900,75.38,-17.15,3.53,0.053,0.003,0.039
26000,60.98,3.30,5.94,0.059,0.011,0.048
26100,76.82,22.61,4.21,0.063,0.019,0.057
26200,84.13,12.29,-6.34,0.063,0.018,0.040
26300,91.58,-11.87,-4.37,0.055,0.019,0.061
26400,79.95,-21.78,0.34,0.054,0.014,0.045
26500,94.44,-0.55,6.46,0.060,0.008,0.050
26600,82.92,18.86,5.99,0.067,0.012,0.056
26700,74.34,14.86,-3.78,0.075,0.013,0.037
26800,44.62,-7.90,-7.05,0.071,0.007,0.055
26900,72.65,-17.46,1.65,0.063,0.013,0.048
27000,83.71,0.43,6.65,0.066,0.007,0.046
27100,93.12,15.95,0.66,0.065,0.013,0.059
27200,63.39,14.16,-9.73,0.066,0.016,0.045
27300,77.19,-7.94,-8.73,0.062,0.022,0.055
27400,85.72,-21.13,5.55,0.068,0.022,0.044
27500,70.40,-3.34,4.80,0.075,0.017,0.048
27600,95.65,15.77,6.15,0.073,0.010,0.060
27700,67.09,13.26,-10.42,0.071,0.007,0.044
27800,58.22,-9.52,-8.77,0.073,0.012,0.056
27900,76.88,-19.68,5.79,0.065,0.017,0.046
28000,101.30,-1.65,6.70,0.061,0.013,0.051
28100,80.29,22.35,-1.11,0.068,0.019,0.061
28200,93.96,14.32,-9.01,0.070,0.019,0.044
28300,86.58,-13.41,-7.04,0.075,0.016,0.064
28400,108.09,-22.46,1.35,0.081,0.019,0.041
28500,81.05,-1.57,5.52,0.088,0.020,0.047
28600,53.24,17.61,6.03,0.084,0.027,0.057
28700,71.38,15.64,-8.67,0.087,0.025,0.045
28800,84.99,-12.72,-9.17,0.085,0.024,0.058
28900,77.69,-16.59,-0.80,0.089,0.029,0.045
29000,88.41,-0.87,5.07,0.084,0.024,0.046
29100,100.36,15.67,-0.50,0.080,0.030,0.056
29200,97.78,14.43,-5.05,0.076,0.036,0.043
29300,75.12,-14.30,-3.10,0.081,0.034,0.055
29400,100.32,-20.82,4.94,0.083,0.036,0.049
29500,97.52,2.29,6.09,0.084,0.029,0.045
29600,78.93,20.91,0.09,0.082,0.023,0.056
29700,92.46,8.14,-3.46,0.078,0.021,0.036
29800,55.36,-14.67,-3.74,0.076,0.019,0.057
29900,95.09,-20.88,1.58,0.084,0.024,0.049
30000,89.97,0.59,5.26,0.080,0.026,0.047
30100,91.02,17.55,4.02,0.083,0.020,0.060
30200,95.11,15.62,-8.45,0.080,0.017,0.040
30300,87.06,-8.01,-5.00,0.072,0.019,0.062
30400,116.56,-19.61,2.84,0.073,0.016,0.048
30500,135.76,-2.11,10.11,0.078,0.023,0.050
30600,88.82,22.69,1.43,0.071,0.024,0.054
30700,101.84,11.45,-5.33,0.072,0.031,0.037
30800,107.58,-11.16,-8.40,0.066,0.037,0.058
30900,117.88,-17.86,3.72,0.074,0.033,0.041
31000,56.85,-1.48,11.33,0.074,0.036,0.055
31100,114.83,15.13,3.85,0.077,0.043,0.056
31200,106.66,8.79,-4.35,0.072,0.035,0.037
31300,100.93,-7.82,-8.73,0.065,0.036,0.061
31400,99.02,-21.41,1.20,0.060,0.035,0.042
31500,89.73,-0.78,8.33,0.060,0.027,0.049
31600,114.79,15.27,2.93,0.056,0.031,0.061
31700,95.36,10.37,-4.83,0.054,0.030,0.039
31800,116.46,-13.22,-4.27,0.054,0.036,0.062
31900,94.40,-19.70,5.30,0.057,0.037,0.042
32000,100.88,-2.63,5.56,0.054,0.042,0.047
32100,104.44,21.35,1.90,0.051,0.040,0.055
32200,74.47,15.58,-8.74,0.058,0.045,0.040
32299,86.02,-8.01,-5.66,0.055,0.050,0.061
32400,124.23,-19.78,6.19,0.059,0.048,0.044
32500,100.00,-3.51,4.39,0.062,0.050,0.045
32600,106.51,20.00,-0.60,0.057,0.051,0.059
32700,130.93,15.14,-9.52,0.064,0.046,0.038
32800,131.06,-15.14,-3.81,0.066,0.051,0.058
32900,62.37,-21.27,2.96,0.067,0.048,0.042
33000,99.65,2.95,4.72,0.066,0.052,0.050
33100,94.05,22.98,-0.84,0.067,0.057,0.055
33200,145.23,10.37,-8.24,0.063,0.060,0.045
33300,99.51,-9.87,-4.63,0.058,0.055,0.055
33400,111.96,-18.61,-0.94,0.056,0.057,0.049
33500,115.26,-0.09,7.98,0.063,0.050,0.054
33600,75.55,22.85,4.41,0.069,0.055,0.060
33700,88.04,14.65,-5.24,0.062,0.060,0.036
33800,104.14,-9.30,-9.53,0.057,0.058,0.063
33900,108.00,-19.03,3.88,0.061,0.066,0.044
34000,81.25,-3.37,7.44,0.055,0.062,0.049
34100,101.00,20.96,-1.31,0.059,0.066,0.053
34200,112.10,10.96,-8.32,0.055,0.073,0.036
34300,112.12,-15.46,-9.81,0.049,0.067,0.062
34400,120.07,-18.00,2.82,0.041,0.075,0.045
34500,132.35,-3.83,8.92,0.039,0.074,0.051
34600,82.52,15.24,2.70,0.034,0.067,0.056
34700,117.13,15.74,-7.45,0.028,0.059,0.040
34800,92.08,-10.79,-4.55,0.034,0.065,0.058
34900,62.54,-18.38,1.80,0.042,0.063,0.042
35000,103.77,3.03,6.55,0.040,0.057,0.052
35100,114.66,22.59,-1.21,0.048,0.061,0.058
35200,127.57,15.16,-3.27,0.051,0.062,0.042
35300,78.03,-11.59,-6.35,0.055,0.058,0.055
35400,119.40,-19.86,-0.12,0.048,0.057,0.044
35500,104.41,2.36,7.77,0.047,0.053,0.049
35600,101.48,22.18,2.11,0.047,0.048,0.058
35700,107.00,11.57,-2.85,0.048,0.041,0.038
35800,91.44,-14.43,-2.51,0.048,0.044,0.055
35900,118.79,-19.89,-0.58,0.052,0.036,0.044
36000,111.60,-0.27,6.39,0.051,0.032,0.047
36100,110.92,18.32,5.23,0.057,0.027,0.053
36200,102.22,11.75,-9.35,0.051,0.032,0.043
36300,104.52,-13.77,-7.47,0.057,0.029,0.057
36400,100.79,-15.10,1.85,0.051,0.023,0.048
36500,106.10,-1.67,6.91,0.058,0.019,0.050
36600,103.49,18.22,5.96,0.052,0.019,0.056
36700,117.24,13.98,-4.52,0.050,0.020,0.037
36800,113.50,-8.77,-3.16,0.054,0.027,0.062
36900,98.60,-21.91,4.67,0.061,0.033,0.047
37000,120.27,-2.69,4.85,0.062,0.034,0.049
37100,107.66,16.50,-1.29,0.056,0.041,0.057
37200,109.17,12.39,-7.11,0.063,0.047,0.044
37300,105.60,-14.14,-2.68,0.071,0.052,0.060
37400,120.10,-15.64,4.08,0.071,0.057,0.043
37500,107.46,0.65,5.73,0.065,0.061,0.047
37600,120.81,18.80,4.20,0.069,0.055,0.061
37700,70.12,8.14,-9.67,0.064,0.051,0.040
37800,141.17,-10.91,-5.16,0.060,0.046,0.064
37900,124.63,-16.19,1.01,0.057,0.046,0.044
38000,116.05,-3.00,8.04,0.055,0.039,0.053
38100,109.39,20.59,-0.67,0.060,0.034,0.055
38200,60.91,8.76,-5.20,0.066,0.037,0.045
38300,122.41,-12.52,-10.28,0.062,0.036,0.056
38400,106.11,-18.23,4.50,0.067,0.039,0.044
38500,100.25,0.72,10.12,0.069,0.036,0.054
38600,104.94,17.64,2.31,0.077,0.030,0.060
38700,110.25,11.87,-9.14,0.076,0.025,0.036
38800,75.71,-11.28,-7.43,0.073,0.030,0.064
38900,130.77,-22.13,1.24,0.081,0.038,0.048
39000,120.81,-1.50,7.42,0.083,0.031,0.047
39100,122.26,15.98,3.51,0.079,0.026,0.059
39200,156.32,12.46,-8.71,0.073,0.029,0.045
39300,97.61,-15.65,-8.04,0.066,0.023,0.063
39400,116.41,-22.08,4.70,0.074,0.024,0.047
39500,121.77,-1.01,4.75,0.077,0.029,0.052
39600,72.28,19.76,4.62,0.072,0.030,0.058
39700,64.71,10.74,-5.02,0.065,0.035,0.041
39800,113.79,-9.48,-10.25,0.073,0.038,0.063
39900,114.56,-20.33,-0.11,0.080,0.043,0.047
40000,108.00,-1.64,10.06,0.081,0.047,0.049
40100,114.44,15.36,3.12,0.087,0.054,0.057
40200,143.75,13.55,-8.40,0.093,0.055,0.038
40300,108.26,-10.87,-5.81,0.096,0.051,0.060
40400,158.03,-21.68,0.30,0.094,0.052,0.049
40500,115.83,-2.47,4.92,0.101,0.057,0.046
40600,139.16,20.32,3.29,0.097,0.052,0.059
40700,92.71,11.23,-6.79,0.096,0.052,0.040
40800,119.51,-10.99,-8.18,0.100,0.046,0.060
40900,130.27,-22.08,4.55,0.092,0.053,0.040
41000,151.59,-3.28,10.96,0.088,0.061,0.045
41100,106.99,19.76,2.95,0.094,0.055,0.054
41200,91.63,8.22,-3.15,0.087,0.063,0.036
41300,99.99,-12.49,-9.33,0.083,0.057,0.056
41400,144.82,-16.04,-0.16,0.083,0.062,0.044
41500,100.45,1.94,6.64,0.084,0.055,0.054
41600,113.41,17.95,5.74,0.078,0.058,0.055
41700,130.21,14.24,-5.44,0.079,0.061,0.036
41800,70.78,-10.50,-2.70,0.075,0.068,0.055
41900,110.93,-18.98,-1.22,0.083,0.068,0.040
42000,115.36,1.62,6.07,0.086,0.067,0.053
42100,118.44,21.53,0.47,0.087,0.072,0.059
42200,147.95,11.00,-5.92,0.094,0.073,0.037
42300,126.61,-12.36,-3.02,0.090,0.077,0.063
42400,91.23,-18.23,2.87,0.089,0.071,0.049
42500,114.60,1.69,4.85,0.094,0.071,0.050
42600,130.10,22.34,0.88,0.093,0.078,0.054
42700,126.40,9.90,-7.34,0.100,0.085,0.038
42800,103.04,-8.91,-5.18,0.104,0.078,0.056
42900,114.98,-17.86,3.84,0.098,0.070,0.042
43000,132.26,-3.27,10.12,0.091,0.066,0.048
43100,100.19,15.36,0.02,0.085,0.068,0.057
43200,110.45,10.29,-6.71,0.089,0.065,0.037
43300,91.19,-11.31,-7.81,0.095,0.064,0.058
43400,127.81,-20.22,4.06,0.090,0.067,0.043
43500,140.84,2.89,11.14,0.084,0.071,0.049
43600,113.04,20.49,-0.80,0.089,0.072,0.058
43700,142.10,8.55,-7.66,0.093,0.069,0.037
43800,139.91,-9.67,-5.99,0.086,0.068,0.058
43900,106.52,-17.38,5.26,0.093,0.074,0.045
44000,110.12,-0.24,5.71,0.085,0.070,0.048
44100,122.62,17.68,5.78,0.089,0.076,0.054
44200,128.03,10.87,-8.69,0.082,0.072,0.041
44300,122.07,-15.64,-9.16,0.088,0.075,0.059
44400,116.13,-16.75,5.12,0.094,0.074,0.040
44500,141.26,2.67,6.67,0.098,0.071,0.050
44600,185.80,17.88,-0.40,0.103,0.072,0.052
44700,141.11,10.37,-10.18,0.109,0.072,0.042
44800,149.36,-15.71,-8.20,0.112,0.064,0.062
44900,139.76,-16.03,2.93,0.105,0.061,0.048
45000,89.98,-1.22,8.60,0.109,0.068,0.047
45100,151.84,19.64,1.55,0.109,0.073,0.059
45200,144.06,10.57,-3.01,0.104,0.066,0.036
45300,137.05,-11.62,-6.98,0.111,0.067,0.056
45400,154.40,-22.13,1.08,0.106,0.072,0.042
45500,143.94,0.75,9.56,0.114,0.072,0.055
45600,155.38,18.81,0.06,0.117,0.064,0.055
45700,128.28,15.58,-10.43,0.123,0.069,0.036
45800,114.14,-13.03,-2.48,0.118,0.063,0.059
45900,128.31,-17.18,1.86,0.118,0.057,0.044
46000,133.09,-2.40,11.36,0.120,0.056,0.053
46100,152.54,20.14,4.71,0.124,0.058,0.053
46200,148.98,10.49,-8.63,0.118,0.051,0.040
46300,113.03,-14.87,-4.83,0.120,0.059,0.063
46400,137.44,-15.16,0.69,0.127,0.060,0.045
46500,136.82,0.16,8.17,0.127,0.053,0.047
46600,156.20,20.19,2.52,0.126,0.049,0.053
46700,121.12,7.95,-6.71,0.124,0.045,0.041
46800,159.87,-9.09,-3.27,0.126,0.051,0.064
46900,107.80,-22.52,1.09,0.124,0.044,0.042
47000,176.24,0.41,7.74,0.128,0.041,0.052
47100,151.33,21.73,1.02,0.124,0.036,0.052
47200,113.70,14.01,-6.09,0.121,0.036,0.043
47300,158.40,-10.01,-8.72,0.124,0.033,0.058
47400,111.45,-19.19,2.98,0.127,0.039,0.045
47500,121.26,3.62,11.14,0.126,0.045,0.049
47600,160.86,22.86,-0.23,0.125,0.040,0.054
47700,102.12,15.13,-10.27,0.118,0.046,0.041
47800,147.42,-13.11,-10.08,0.114,0.045,0.058
47900,144.85,-17.16,5.48,0.121,0.047,0.043
48000,140.94,3.90,10.29,0.114,0.051,0.049
48100,189.48,18.88,3.23,0.110,0.044,0.058
48200,122.54,10.17,-8.64,0.109,0.039,0.039
48300,133.25,-7.76,-9.74,0.115,0.040,0.064
48400,145.91,-17.95,3.48,0.113,0.048,0.047
48500,128.91,2.93,5.74,0.116,0.053,0.048
48600,126.03,19.07,-0.33,0.119,0.055,0.053
48700,154.55,13.49,-5.86,0.113,0.053,0.041
48800,143.50,-13.36,-6.27,0.108,0.051,0.059
48900,160.68,-15.06,2.20,0.104,0.044,0.043
49000,146.12,3.30,5.97,0.106,0.045,0.051
49100,125.84,19.04,0.25,0.106,0.041,0.054
